work_order,lot,work_center,mo_id,real_duration,status,qc_fail,product_type,date_finished,week,year,month,prod_name,prod_number
Goku 5 Coaxial Core Assembly R205,1007169-001-0000000014,[WC-SH010]  Coaxial Core Assembly Station,MO/03352,139.3,done,,Sensor Head,2020-12-11 00:12:41.062282,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:COAXIAL:CORE (copy),1007169-001
Goku 5 Coaxial Transceiver Build R205,1007169-001-0000000014,[WC-SH040]  Coaxial Transceiver Assembly Station,MO/03352,18.08,done,,Sensor Head,2020-12-11 00:37:17.940476,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:COAXIAL:CORE (copy),1007169-001
[TDT-0002] Goku 5 Transceiver Directivity Test R205,1007169-001-0000000014,[WC-SH020] Directivity Test Rig Core or Transceiver,MO/03352,7.16,done,,Sensor Head,2020-12-11 01:18:03.186754,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:COAXIAL:CORE (copy),1007169-001
[TZA-0002] Goku 5 Coaxial Transceiver Calibration R205,1007169-001-0000000014,[WC-SH050] Transceiver Calibration Rig,MO/03352,33.44,done,,Sensor Head,2020-12-11 01:10:48.576759,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:COAXIAL:CORE (copy),1007169-001
[EFT-0007] Engine Final Test - Full Angie 1CH,1006379-001-0000000350,[WC-E080] Engine Performance Rig,MO/03353,51.89,done,,Engine,2020-12-07 00:13:18.440421,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
[ESM-0007] Laser Spectrum after EDFA - Full Angie 1CH,1006379-001-0000000350,[WC-E080] Engine Performance Rig,MO/03353,53.019999999999996,done,Yes,Engine,2020-12-06 21:46:25.552343,49.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
Full Engine Assembly - Angie 1CH,1006379-001-0000000350,[WC-E070] Engine Assembly Station,MO/03353,0.13,done,,Engine,2020-12-06 20:50:56.652705,49.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
[SSM-0001] Engine Signal Strength - Full Angie 1CH,1006379-001-0000000350,[WC-E080] Engine Performance Rig,MO/03353,89.5,done,,Engine,2020-12-06 23:20:52.018490,49.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
[EFT-0007] Engine Final Test - Full Angie 1CH,1006379-001-0000000356,[WC-E080] Engine Performance Rig,MO/03355,48.5,done,,Engine,2020-12-08 22:03:28.440473,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
[ESM-0007] Laser Spectrum after EDFA - Full Angie 1CH,1006379-001-0000000356,[WC-E080] Engine Performance Rig,MO/03355,1066.56,done,Yes,Engine,2020-12-08 20:43:38.895290,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
Full Engine Assembly - Angie 1CH,1006379-001-0000000356,[WC-E070] Engine Assembly Station,MO/03355,0.13,done,,Engine,2020-12-07 04:17:24.108647,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
[SSM-0001] Engine Signal Strength - Full Angie 1CH,1006379-001-0000000356,[WC-E080] Engine Performance Rig,MO/03355,31.39,done,,Engine,2020-12-08 21:17:00.363073,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
GA Motor Build,1001382-005-0000000549,[WC-MOT020] Motor Assembly Station,MO/03356,181.23,done,,,2020-12-08 03:00:52.418811,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
[HWT-0001] Motor Testing,1001382-005-0000000549,[WC-MOT030] Motor Tests,MO/03356,13.66,done,,,2020-12-08 03:14:37.583421,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
[SAT-0003] Motor Noise Testing,1001382-005-0000000549,[WC-SH130] Acoustic Test Rig,MO/03356,7.73,done,,Sensor Head,2020-12-08 03:22:38.625860,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
[SCL-0001] Motor Code Load,1001382-005-0000000549,[WC-MOT010] Motor Code Load,MO/03356,6.04,done,,,2020-12-07 23:36:49.892078,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
GA Motor Build,1001382-005-0000000550,[WC-MOT020] Motor Assembly Station,MO/03357,120.51,done,,,2020-12-10 04:30:34.044837,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
[HWT-0001] Motor Testing,1001382-005-0000000550,[WC-MOT030] Motor Tests,MO/03357,6.42,done,,,2020-12-10 04:44:16.379915,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
[SAT-0003] Motor Noise Testing,1001382-005-0000000550,[WC-SH130] Acoustic Test Rig,MO/03357,0.36,done,,Sensor Head,2020-12-10 04:57:40.591647,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
[SCL-0001] Motor Code Load,1001382-005-0000000550,[WC-MOT010] Motor Code Load,MO/03357,15.17,done,,,2020-12-10 02:29:54.305285,50.0,2020.0,December ,SEN:CMP:ASY:GOKU:HOLLOW:MOTOR,1001382-005
[ABC-0005] APD Calibration - Angie,1002240-001-0000000364,[WC-E060] APD Calibration Rig,MO/03361,0.87,done,,Engine,2020-12-10 20:20:18.511881,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[CL-0002] Code Load - Angie,1002240-001-0000000364,[WC-E010] Engine Code Load Rig,MO/03361,67.25,done,,Engine,2020-12-09 01:09:36.390974,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
Engine Top Assembly - Angie,1002240-001-0000000364,[WC-E020] Top Engine Assembly Station,MO/03361,24.220000000000002,done,,Engine,2020-12-09 03:36:43.162814,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ESM-0010] SMSR Laser - Angie,1002240-001-0000000364,[WC-E030] Laser Calibration Rig,MO/03361,1.24,done,,Engine,2020-12-10 20:16:54.128901,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ESM-0010] SMSR Laser - Angie - SWAMP,1002240-001-0000000364,[WC-E030] Laser Calibration Rig,MO/03361,0.03,done,,Engine,2020-12-10 20:01:15.846221,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie,1002240-001-0000000364,[WC-E030] Laser Calibration Rig,MO/03361,13.07,done,,Engine,2020-12-10 20:14:26.488048,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie - SWAMP,1002240-001-0000000364,[WC-E030] Laser Calibration Rig,MO/03361,0.16,done,,Engine,2020-12-10 20:01:10.628647,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ABC-0005] APD Calibration - Angie,1002240-001-0000000365,[WC-E060] APD Calibration Rig,MO/03363,167.68,done,,Engine,2020-12-10 23:25:23.651990,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[CL-0002] Code Load - Angie,1002240-001-0000000365,[WC-E010] Engine Code Load Rig,MO/03363,24.33,done,,Engine,2020-12-09 03:25:26.760979,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
Engine Top Assembly - Angie,1002240-001-0000000365,[WC-E020] Top Engine Assembly Station,MO/03363,22.66,done,,Engine,2020-12-09 03:50:05.882523,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ESM-0010] SMSR Laser - Angie,1002240-001-0000000365,[WC-E030] Laser Calibration Rig,MO/03363,2.36,done,,Engine,2020-12-10 21:21:18.161173,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ESM-0010] SMSR Laser - Angie - SWAMP,1002240-001-0000000365,[WC-E030] Laser Calibration Rig,MO/03363,0.03,done,,Engine,2020-12-10 21:16:30.151705,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie,1002240-001-0000000365,[WC-E030] Laser Calibration Rig,MO/03363,2.22,done,,Engine,2020-12-10 21:18:52.608496,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie - SWAMP,1002240-001-0000000365,[WC-E030] Laser Calibration Rig,MO/03363,1451.55,done,,Engine,2020-12-10 21:16:23.637434,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
PCB/Cable Rework,1001147-037-0000000366,[WC-R010] Rework Station,MO/03365,5.93,done,,,2020-12-09 04:52:48.972738,50.0,2020.0,December ,ENG:ASY:PCA:FORTUNA:LUMBERING (copy),1001147-037
[DRT-0006] Goku 5 Sensorhead Directivity Test R209,1003813-001-0000001311,[WC-SH030] Directivity Test Rig - Sensorhead,MO/03366,93.38,done,,Sensor Head,2020-12-10 02:23:54.975889,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[FADD-0002] Goku 5 F2A Calibration R209,1003813-001-0000001311,[WC-SH100] Frequency Calibration Rig,MO/03366,1067.93,done,,Sensor Head,2020-12-10 20:09:36.531738,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
Goku 5 Sensorhead Closing and Seal-Up R209,1003813-001-0000001311,[WC-SH080] Sensorhead Final Assembly Station,MO/03366,0.59,done,,Sensor Head,2020-12-10 00:38:35.667698,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
Goku 5 Sensorhead Opto-Mechanical Build R209,1003813-001-0000001311,[WC-SH060] Sensorhead Opto-Mechanical Assembly Station,MO/03366,159.56,done,,Sensor Head,2020-12-10 00:37:54.943355,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[SAT-0002] Goku 5 Sensorhead Acoustic Noise Test R209,1003813-001-0000001311,[WC-SH130] Acoustic Test Rig,MO/03366,0.34,done,,Sensor Head,2020-12-10 20:10:15.881461,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[SLT-0001] Goku 5 Sensorhead Sealing Test R209,1003813-001-0000001311,[WC-SH090] Sensorhead Leak Test Rig,MO/03366,0.24,done,,Sensor Head,2020-12-10 00:38:53.887318,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[ABC-0005] APD Calibration - Angie,1002240-001-0000000366,[WC-E060] APD Calibration Rig,MO/03405,1.01,done,,Engine,2020-12-18 02:20:44.172695,51.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[CL-0002] Code Load - Angie,1002240-001-0000000366,[WC-E010] Engine Code Load Rig,MO/03405,0.17,done,,Engine,2020-12-18 02:15:59.264770,51.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[CL-0002] Code Load - Angie,1002240-001-0000000366,[WC-E010] Engine Code Load Rig,MO/03367,17.41,done,,Engine,2020-12-09 20:57:34.488954,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
Engine Top Assembly - Angie,1002240-001-0000000366,[WC-E020] Top Engine Assembly Station,MO/03405,0.8,done,,Engine,2020-12-18 02:16:53.019055,51.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
Engine Top Assembly - Angie,1002240-001-0000000366,[WC-E020] Top Engine Assembly Station,MO/03367,51.91,done,,Engine,2020-12-09 21:49:36.039231,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ESM-0010] SMSR Laser - Angie,1002240-001-0000000366,[WC-E030] Laser Calibration Rig,MO/03405,0.47,done,,Engine,2020-12-18 02:19:37.666406,51.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie,1002240-001-0000000366,[WC-E030] Laser Calibration Rig,MO/03405,2.1,done,,Engine,2020-12-18 02:19:03.726006,51.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie - SWAMP,1002240-001-0000000366,[WC-E030] Laser Calibration Rig,MO/03367,6167.45,done,,Engine,2020-12-15 02:49:29.164632,51.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[DRT-0006] Goku 5 Sensorhead Directivity Test R209,1003813-001-0000001312,[WC-SH030] Directivity Test Rig - Sensorhead,MO/03368,0.65,done,,Sensor Head,2020-12-11 04:52:26.657377,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[FADD-0002] Goku 5 F2A Calibration R209,1003813-001-0000001312,[WC-SH100] Frequency Calibration Rig,MO/03368,28.92,done,,Sensor Head,2020-12-13 23:11:17.489535,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
Goku 5 Sensorhead Closing and Seal-Up R209,1003813-001-0000001312,[WC-SH080] Sensorhead Final Assembly Station,MO/03368,1.47,done,,Sensor Head,2020-12-11 04:50:35.936729,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
Goku 5 Sensorhead Opto-Mechanical Build R209,1003813-001-0000001312,[WC-SH060] Sensorhead Opto-Mechanical Assembly Station,MO/03368,0.82,done,,Sensor Head,2020-12-10 04:52:37.855267,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[SAT-0002] Goku 5 Sensorhead Acoustic Noise Test R209,1003813-001-0000001312,[WC-SH130] Acoustic Test Rig,MO/03368,0.7,done,,Sensor Head,2020-12-14 00:05:36.958506,51.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[SLT-0001] Goku 5 Sensorhead Sealing Test R209,1003813-001-0000001312,[WC-SH090] Sensorhead Leak Test Rig,MO/03368,0.97,done,,Sensor Head,2020-12-11 04:51:40.472694,50.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
Development Code Load - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,0.29,done,,Systems,2020-12-11 03:47:48.960853,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
Distance Accuracy - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,2.36,done,,Systems,2020-12-11 03:58:40.076613,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
[ESR-0009] Eye Safety - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L020] LIDAR Optical Power Measurement Rig,MO/03369,1.32,done,,Systems,2020-12-11 03:55:27.416158,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
FOV Test - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,1.26,done,,Systems,2020-12-11 05:02:58.918025,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
Free Space Horns Test - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,5.44,done,,Systems,2020-12-11 05:31:29.792761,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
Intensity Calibration Check - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,0.14,done,,Systems,2020-12-11 05:01:37.139382,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
[LDA-0001] LIDAR Assembly - 1CH Equus - G6,1006114-001-0000002426,[WC-L010] LIDAR Assembly Station,MO/03369,2.44,done,,Systems,2020-12-11 03:47:15.532120,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
[LFT-0001] POD Range Test - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,62.49,done,,Systems,2020-12-11 05:01:22.042086,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
[LZC-0003] Calibration - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L040] LIDAR System Calibration Rig,MO/03369,6.15,done,,Systems,2020-12-11 03:54:02.708885,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
Report Generation - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,0.33,done,,Systems,2020-12-11 05:31:58.353339,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
safety Check,1006114-001-0000002426,[WC-L050] LIDAR Performance Measurement Rig,MO/03369,0.14,done,,Systems,2020-12-11 05:32:13.333708,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
Securing SH Conduit,1006114-001-0000002426,[WC-SH080] Sensorhead Final Assembly Station,MO/03369,0.14,done,,Sensor Head,2020-12-11 05:32:37.351842,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
[SLT-0002] Sensorhead Sealing Test - G6,1006114-001-0000002426,[WC-SH090] Sensorhead Leak Test Rig,MO/03369,0.07,done,,Sensor Head,2020-12-11 05:32:46.695553,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
Zero Order Eye-Safety Test - 1CH LIDAR - G6,1006114-001-0000002426,[WC-L020] LIDAR Optical Power Measurement Rig,MO/03369,0.51,done,,Systems,2020-12-11 03:56:06.484950,50.0,2020.0,December ,BARAJA:LIDAR1:INT:1CH:GOKU6,1006114-001
[CDT-0007] Sled Directivity Test - G6 Sled Txcvr R213,1007041-001-0000000052,[WC-SH020] Directivity Test Rig Core or Transceiver,MO/03370,0.99,done,,Sensor Head,2020-12-17 05:12:43.097354,51.0,2020.0,December ,SEN:CMP:ASY:GOKU5:TRANSCEIVER (copy),1007041-001
Coaxial Sled Assembly - G6 Sled Txcvr R213,1007041-001-0000000052,[WC-SH010]  Coaxial Core Assembly Station,MO/03370,1.2,done,,Sensor Head,2020-12-17 05:11:31.696576,51.0,2020.0,December ,SEN:CMP:ASY:GOKU5:TRANSCEIVER (copy),1007041-001
[TDT-0008] Transceiver Directivity Test  - G6 Sled Txcvr R213,1007041-001-0000000052,[WC-SH020] Directivity Test Rig Core or Transceiver,MO/03370,0.45,done,,Sensor Head,2020-12-17 05:14:24.059285,51.0,2020.0,December ,SEN:CMP:ASY:GOKU5:TRANSCEIVER (copy),1007041-001
Transceiver Assembly - G6 Sled Txcvr R213,1007041-001-0000000052,[WC-SH040]  Coaxial Transceiver Assembly Station,MO/03370,0.43,done,,Sensor Head,2020-12-17 05:13:14.970447,51.0,2020.0,December ,SEN:CMP:ASY:GOKU5:TRANSCEIVER (copy),1007041-001
[TZA-0003] Transceiver Calibration - G6 Sled Txcvr R213,1007041-001-0000000052,[WC-SH050] Transceiver Calibration Rig,MO/03370,0.5,done,,Sensor Head,2020-12-17 05:13:50.689049,51.0,2020.0,December ,SEN:CMP:ASY:GOKU5:TRANSCEIVER (copy),1007041-001
[EFT-0007] Engine Final Test - Full Angie 2CH,1006380-001-0000000364,[WC-E080] Engine Performance Rig,MO/03372,1.0,done,,Engine,2020-12-11 03:07:20.222316,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[ESM-0007] Laser Spectrum after EDFA - Full Angie 2CH,1006380-001-0000000364,[WC-E080] Engine Performance Rig,MO/03372,205.17,done,Yes,Engine,2020-12-11 03:05:46.818970,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
Full Engine Assembly - Angie 2CH,1006380-001-0000000364,[WC-E070] Engine Assembly Station,MO/03372,0.4,done,,Engine,2020-12-10 23:18:19.800004,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[SSM-0001] Engine Signal Strength - Full Angie 2CH,1006380-001-0000000364,[WC-E080] Engine Performance Rig,MO/03372,0.04,done,,Engine,2020-12-11 03:05:53.371064,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[EFT-0007] Engine Final Test - Full Angie 2CH,1006380-001-0000000365,[WC-E080] Engine Performance Rig,MO/03373,2.32,done,,Engine,2020-12-11 09:17:01.867049,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[ESM-0007] Laser Spectrum after EDFA - Full Angie 2CH,1006380-001-0000000365,[WC-E080] Engine Performance Rig,MO/03373,300.4,done,Yes,Engine,2020-12-11 09:14:07.766197,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
Full Engine Assembly - Angie 2CH,1006380-001-0000000365,[WC-E070] Engine Assembly Station,MO/03373,79.99,done,,Engine,2020-12-11 03:52:10.237283,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[SSM-0001] Engine Signal Strength - Full Angie 2CH,1006380-001-0000000365,[WC-E080] Engine Performance Rig,MO/03373,0.38,done,,Engine,2020-12-11 09:14:36.587063,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[ABC-0005] APD Calibration - Angie,1002240-001-0000000344,[WC-E060] APD Calibration Rig,MO/03376,0.64,done,,Engine,2020-12-11 20:18:40.715030,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[CL-0002] Code Load - Angie,1002240-001-0000000344,[WC-E010] Engine Code Load Rig,MO/03376,0.12,done,,Engine,2020-12-11 20:10:55.280712,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
Engine Top Assembly - Angie,1002240-001-0000000344,[WC-E020] Top Engine Assembly Station,MO/03376,0.59,done,,Engine,2020-12-11 20:11:35.413299,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ESM-0010] SMSR Laser - Angie,1002240-001-0000000344,[WC-E030] Laser Calibration Rig,MO/03376,0.99,done,,Engine,2020-12-11 20:17:33.709099,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[ESM-0010] SMSR Laser - Angie - SWAMP,1002240-001-0000000344,[WC-E030] Laser Calibration Rig,MO/03376,0.03,done,,Engine,2020-12-11 20:11:46.923556,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie,1002240-001-0000000344,[WC-E030] Laser Calibration Rig,MO/03376,4.63,done,,Engine,2020-12-11 20:16:29.956517,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[LC-0005] Laser Calibration - Angie - SWAMP,1002240-001-0000000344,[WC-E030] Laser Calibration Rig,MO/03376,0.04,done,,Engine,2020-12-11 20:11:41.208542,50.0,2020.0,December ,ASSY:ANGIE:TOPENG:BLUE,1002240-001
[EFT-0007] Engine Final Test - Full Angie 2CH,1006380-001-0000000348,[WC-E080] Engine Performance Rig,MO/03377,1021.89,done,,Engine,2020-12-15 21:07:11.254404,51.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[EFT-0007] Engine Final Test - Full Angie 2CH,1006380-001-0000000348,[WC-E080] Engine Performance Rig,MO/03533,5.949999999999999,done,,Engine,2021-02-11 02:17:44.298843,6.0,2021.0,February ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[ESM-0007] Laser Spectrum after EDFA - Full Angie 2CH,1006380-001-0000000348,[WC-E080] Engine Performance Rig,MO/03377,1444.25,done,Yes,Engine,2020-12-15 02:31:20.891911,51.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[ESM-0007] Laser Spectrum after EDFA - Full Angie 2CH,1006380-001-0000000348,[WC-E080] Engine Performance Rig,MO/03533,8.450000000000001,done,Yes,Engine,2021-02-11 00:01:54.394641,6.0,2021.0,February ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
Full Engine Assembly - Angie 2CH,1006380-001-0000000348,[WC-E070] Engine Assembly Station,MO/03533,0.6,done,,Engine,2021-02-10 04:21:51.073966,6.0,2021.0,February ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
Full Engine Assembly - Angie 2CH,1006380-001-0000000348,[WC-E070] Engine Assembly Station,MO/03377,235.66,done,,Engine,2020-12-14 02:27:11.812868,51.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[SSM-0001] Engine Signal Strength - Full Angie 2CH,1006380-001-0000000348,[WC-E080] Engine Performance Rig,MO/03377,13.37,done,,Engine,2020-12-15 04:04:57.079672,51.0,2020.0,December ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[SSM-0001] Engine Signal Strength - Full Angie 2CH,1006380-001-0000000348,[WC-E080] Engine Performance Rig,MO/03533,0.06,done,,Engine,2021-02-11 00:33:02.967850,6.0,2021.0,February ,ASY:ENG:BLU:ANGIE:2CH,1006380-001
[DRT-0006] Goku 5 Sensorhead Directivity Test R209,1003813-001-0000001313,[WC-SH030] Directivity Test Rig - Sensorhead,MO/03381,23.3,done,,Sensor Head,2020-12-14 21:44:00.693027,51.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[FADD-0002] Goku 5 F2A Calibration R209,1003813-001-0000001313,[WC-SH100] Frequency Calibration Rig,MO/03381,32.02,done,,Sensor Head,2020-12-15 03:03:54.497111,51.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
Goku 5 Sensorhead Closing and Seal-Up R209,1003813-001-0000001313,[WC-SH080] Sensorhead Final Assembly Station,MO/03381,31.11,done,,Sensor Head,2020-12-14 04:56:10.392100,51.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
Goku 5 Sensorhead Opto-Mechanical Build R209,1003813-001-0000001313,[WC-SH060] Sensorhead Opto-Mechanical Assembly Station,MO/03381,5.7299999999999995,done,,Sensor Head,2020-12-14 02:13:01.301854,51.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[SAT-0002] Goku 5 Sensorhead Acoustic Noise Test R209,1003813-001-0000001313,[WC-SH130] Acoustic Test Rig,MO/03381,0.47,done,,Sensor Head,2020-12-15 03:20:05.176311,51.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[SLT-0001] Goku 5 Sensorhead Sealing Test R209,1003813-001-0000001313,[WC-SH090] Sensorhead Leak Test Rig,MO/03381,0.96,done,,Sensor Head,2020-12-14 21:10:16.950133,51.0,2020.0,December ,ASY:SEN:BLU:GOKU:GOKU5,1003813-001
[EFT-0007] Engine Final Test - Full Angie 1CH,1006379-001-0000000344,[WC-E080] Engine Performance Rig,MO/03382,2701.31,done,,Engine,2020-12-13 21:52:34.055232,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
[ESM-0007] Laser Spectrum after EDFA - Full Angie 1CH,1006379-001-0000000344,[WC-E080] Engine Performance Rig,MO/03382,38.15,done,Yes,Engine,2020-12-12 00:44:23.217074,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
Full Engine Assembly - Angie 1CH,1006379-001-0000000344,[WC-E070] Engine Assembly Station,MO/03382,0.07,done,,Engine,2020-12-12 00:03:14.548728,50.0,2020.0,December ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
[EFT-0006] Engine Final Test - Full Angie 1CH,1006379-001-0000000349,[WC-E080] Engine Performance Rig,MO/03429,2.4499999999999997,done,,Engine,2021-01-07 03:28:17.481470,1.0,2021.0,January  ,ASY:ENG:BLU:ANGIE:1CH,1006379-001
